Index,Name,Emergency,2.2E+34,2E+34,1.7E+34,1.5E+34,1.3E+34,1.1E+34,9E+33,6E+33
18,L1_MuShower_OneTight,1,1,1,1,1,1,1,1,1
19,L1_MuShower_OneNominal,1,1,1,1,1,1,1,1,1
27,L1_DoubleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
28,L1_DoubleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,1,1,1,1,1,1,1,1,1
30,L1_DoubleMu0_SQ,0,1500,1500,1500,1500,1500,1500,1500,1500
107,L1_ZeroBias,17881,17881,17881,17881,17881,17881,17881,17881,17881
154,L1_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
155,L1_MinimumBiasHF1_OR_BptxAND,0,0,0,0,0,0,0,0,0
164,L1_MinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
165,L1_MinimumBiasHF2_OR_BptxAND,0,0,0,0,0,0,0,0,0
180,L1_SingleMuOpen_BptxAND,0,1,1,1,1,1,1,1,1
181,L1_SingleMu0_BptxAND,0,1,1,1,1,1,1,1,1
182,L1_SingleMu3_BptxAND,0,1,1,1,1,1,1,1,1
183,L1_SingleMu5_BptxAND,0,1,1,1,1,1,1,1,1
184,L1_SingleMu7_BptxAND,0,1,1,1,1,1,1,1,1
202,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
203,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,1,1,1,1,1,1,1,1,1
204,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND,1,1,1,1,1,1,1,1,1
208,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
209,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
210,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
211,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
212,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
213,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
214,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
216,L1_SingleMu3_SingleEG12_BptxAND,0,1,1,1,1,1,1,1,1
217,L1_SingleMuOpen_SingleEG15_BptxAND,0,1,1,1,1,1,1,1,1
218,L1_SingleMu3_SingleEG20_BptxAND,0,1,1,1,1,1,1,1,1
219,L1_SingleMu3_SingleEG30_BptxAND,0,1,1,1,1,1,1,1,1
220,L1_SingleMu5_SingleEG10_BptxAND,0,1,1,1,1,1,1,1,1
221,L1_SingleMu5_SingleEG12_BptxAND,0,1,1,1,1,1,1,1,1
222,L1_SingleMu5_SingleEG15_BptxAND,0,1,1,1,1,1,1,1,1
223,L1_SingleMu5_SingleEG20_BptxAND,0,1,1,1,1,1,1,1,1
224,L1_SingleMu7_SingleEG7_BptxAND,0,1,1,1,1,1,1,1,1
225,L1_SingleMu7_SingleEG10_BptxAND,0,1,1,1,1,1,1,1,1
226,L1_SingleMu7_SingleEG12_BptxAND,0,1,1,1,1,1,1,1,1
227,L1_SingleMu7_SingleEG15_BptxAND,0,1,1,1,1,1,1,1,1
228,L1_SingleMu12_SingleEG7_BptxAND,0,1,1,1,1,1,1,1,1
232,L1_DoubleMuOpen_BptxAND,0,1,1,1,1,1,1,1,1
233,L1_DoubleMuOpen_OS_BptxAND,0,1,1,1,1,1,1,1,1
234,L1_DoubleMuOpen_SS_BptxAND,0,1,1,1,1,1,1,1,1
235,L1_DoubleMu0_BptxAND,0,1,1,1,1,1,1,1,1
236,L1_DoubleMu10_BptxAND,0,1,1,1,1,1,1,1,1
241,L1_DoubleMuOpen_MaxDr3p5_BptxAND,0,1,1,1,1,1,1,1,1
246,L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
259,L1_SingleJet8_BptxAND,0,1,1,1,1,1,1,1,1
260,L1_SingleJet16_BptxAND,0,1,1,1,1,1,1,1,1
261,L1_SingleJet24_BptxAND,0,1,1,1,1,1,1,1,1
262,L1_SingleJet28_BptxAND,0,1,1,1,1,1,1,1,1
263,L1_SingleJet32_BptxAND,0,1,1,1,1,1,1,1,1
264,L1_SingleJet36_BptxAND,0,1,1,1,1,1,1,1,1
265,L1_SingleJet40_BptxAND,0,1,1,1,1,1,1,1,1
266,L1_SingleJet44_BptxAND,0,1,1,1,1,1,1,1,1
267,L1_SingleJet48_BptxAND,0,1,1,1,1,1,1,1,1
268,L1_SingleJet56_BptxAND,0,1,1,1,1,1,1,1,1
269,L1_SingleJet60_BptxAND,0,1,1,1,1,1,1,1,1
270,L1_SingleJet64_BptxAND,0,1,1,1,1,1,1,1,1
271,L1_SingleJet72_BptxAND,0,1,1,1,1,1,1,1,1
272,L1_SingleJet80_BptxAND,0,1,1,1,1,1,1,1,1
276,L1_SingleJet28_FWD_BptxAND,0,1,1,1,1,1,1,1,1
277,L1_SingleJet36_FWD_BptxAND,0,1,1,1,1,1,1,1,1
278,L1_SingleJet44_FWD_BptxAND,0,1,1,1,1,1,1,1,1
279,L1_SingleJet56_FWD_BptxAND,0,1,1,1,1,1,1,1,1
280,L1_SingleJet64_FWD_BptxAND,0,1,1,1,1,1,1,1,1
282,L1_SingleJet8_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
283,L1_SingleJet16_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
284,L1_SingleJet24_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
285,L1_SingleJet28_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
286,L1_SingleJet32_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
287,L1_SingleJet36_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
288,L1_SingleJet40_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
289,L1_SingleJet44_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
290,L1_SingleJet48_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
291,L1_SingleJet56_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
292,L1_SingleJet60_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
293,L1_SingleJet64_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
295,L1_SingleJet8_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
296,L1_SingleJet16_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
297,L1_SingleJet24_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
298,L1_SingleJet28_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
299,L1_SingleJet32_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
300,L1_SingleJet36_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
301,L1_SingleJet40_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
302,L1_SingleJet44_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
303,L1_SingleJet48_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
304,L1_SingleJet56_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
305,L1_SingleJet60_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
306,L1_SingleJet64_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
308,L1_SingleJet8_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
309,L1_SingleJet16_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
