Index,Name,Emergency,5E+03,0E+00
18,L1_MuShower_OneTight,0,1,1
19,L1_MuShower_OneNominal,0,1,1
27,L1_DoubleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1
28,L1_DoubleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,1,1
30,L1_DoubleMuSQ_BptxAND,0,1,1
39,L1_ZDC1nOR_MinimumBiasHF1_AND_BptxAND,0,0,0
40,L1_ZDC2nOR_MinimumBiasHF1_AND_BptxAND,0,0,0
41,L1_ZDC3nOR_MinimumBiasHF1_AND_BptxAND,0,0,0
42,L1_ZDC1nAND_MinimumBiasHF1_AND_BptxAND,0,0,0
43,L1_ZDC1nOR_MinimumBiasHF2_AND_BptxAND,0,0,0
44,L1_ZDC2nOR_MinimumBiasHF2_AND_BptxAND,0,0,0
45,L1_ZDC3nOR_MinimumBiasHF2_AND_BptxAND,0,0,0
46,L1_ZDC1nAND_MinimumBiasHF2_AND_BptxAND,0,0,0
56,L1_MinimumBiasHF1_AND_TOTEM_1_BptxAND,0,0,0
57,L1_MinimumBiasHF1_AND_TOTEM_2_BptxAND,0,0,0
58,L1_MinimumBiasHF1_AND_TOTEM_3_BptxAND,0,0,0
59,L1_MinimumBiasHF1_AND_TOTEM_4_BptxAND,0,0,0
60,L1_TOTEM_1,0,0,0
61,L1_TOTEM_2,0,0,0
62,L1_TOTEM_3,0,0,0
63,L1_TOTEM_4,0,0,0
72,L1_ZDC1nOR_BptxAND,0,0,0
73,L1_ZDC1nXOR_MinimumBiasHF1_AND_BptxAND,0,0,0
74,L1_ZDC1nXOR_MinimumBiasHF2_AND_BptxAND,0,0,0
107,L1_ZeroBias,17881,2800,2800
154,L1_MinimumBiasHF1_AND_BptxAND,0,1,1
155,L1_MinimumBiasHF1_OR_BptxAND,0,0,0
164,L1_MinimumBiasHF2_AND_BptxAND,0,0,1
165,L1_MinimumBiasHF2_OR_BptxAND,0,0,0
180,L1_SingleMuOpen_BptxAND,0,300,1
181,L1_SingleMu0_BptxAND,0,1,1
182,L1_SingleMu3_BptxAND,0,1,1
183,L1_SingleMu5_BptxAND,0,1,1
184,L1_SingleMu7_BptxAND,0,1,1
190,L1_SingleMuCosmic_BptxAND,0,0,1
191,L1_SingleMuCosmic_NotMinimumBiasHF2_OR_BptxAND,0,0,1
192,L1_DoubleMuCosmic_BptxAND,0,0,1
193,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND,0,0,1
194,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_OR_BptxAND,0,0,1
195,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND,0,0,1
196,L1_SingleEG3_NotMinimumBiasHF2_OR_BptxAND,0,0,1
202,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,1,1
203,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,1,1
204,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND,0,1,1
