Index,Name,Emergency,Prescaled,Accept
0,L1_AlwaysTrue,0,0,0
1,L1_ZeroBias,17881,1,1
2,L1_ZeroBias_copy,0,0,0
3,L1_BPTX_AND_Ref1_VME,0,0,0
4,L1_BPTX_AND_Ref3_VME,0,0,0
5,L1_BPTX_AND_Ref4_VME,0,0,0
6,L1_BPTX_BeamGas_B1_VME,0,0,0
7,L1_BPTX_BeamGas_B2_VME,0,0,0
8,L1_BPTX_BeamGas_Ref1_VME,0,0,0
9,L1_BPTX_BeamGas_Ref2_VME,0,0,0
10,L1_BPTX_NotOR_VME,0,0,0
11,L1_BPTX_OR_Ref3_VME,0,0,0
12,L1_BPTX_OR_Ref4_VME,0,0,0
13,L1_BPTX_RefAND_VME,0,0,0
14,L1_BptxMinus,0,0,0
15,L1_BptxOR,0,0,0
16,L1_BptxPlus,0,0,0
17,L1_BptxXOR,0,0,0
18,L1_NotBptxOR,0,0,0
19,L1_LastBunchInTrain,0,0,0
20,L1_SecondBunchInTrain,0,0,0
21,L1_SecondLastBunchInTrain,0,0,0
22,L1_FirstBunchAfterTrain,0,0,0
23,L1_FirstBunchInTrain,0,0,0
24,L1_FirstCollisionInTrain,0,0,0
25,L1_LastCollisionInTrain,0,0,0
26,L1_FirstCollisionInOrbit,0,0,0
27,L1_IsolatedBunch,0,0,0
28,L1_FirstBunchBeforeTrain,0,0,0
29,L1_UnpairedBunchBptxPlus,0,0,0
30,L1_UnpairedBunchBptxMinus,0,0,0
56,L1_MinimumBiasHF0_AND_BptxAND,0,1,1
57,L1_MinimumBiasHF0_OR_BptxAND,0,1,1
64,L1_MuShower_OneTight,0,1,1
65,L1_MuShower_OneNominal,0,1,1
97,L1_DoubleEG_10_10,0,1,1
98,L1_DoubleEG_10_5,0,1,1
99,L1_DoubleEG_15_5,0,1,1
100,L1_DoubleEG_15_10,0,1,1
101,L1_DoubleEG_18_17,0,1,1
102,L1_DoubleEG_20_18,0,1,1
103,L1_DoubleEG_22_10,0,1,1
104,L1_DoubleEG_22_12,0,1,1
105,L1_DoubleEG_22_15,0,1,1
106,L1_DoubleEG_23_10,0,1,1
107,L1_DoubleEG_24_17,0,1,1
108,L1_DoubleEG_25_12,0,1,1
